Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
79.56102753,83.05786133,77.82865143,79.1118927,77.88942719,10525423,-0.565,5/15/2018,19,2018,15,Tuesday,-1.4692,1.842762247
78.91941071,80.07432556,77.41159821,78.98356628,77.76308441,6247641,-0.162,5/16/2018,19,2018,16,Wednesday,-1.4692,1.842762247
79.81767273,80.5876236,78.14945984,79.17605591,77.9526062,4922000,0.244,5/17/2018,19,2018,17,Thursday,-1.4692,1.842762247
79.43270111,79.56102753,75.42256927,76.09627533,74.92041779,6429588,-3.89,5/18/2018,19,2018,18,Friday,-1.4692,1.842762247
76.35292053,77.5719986,74.42805481,75.8396225,74.66773224,4982120,-0.337,5/21/2018,20,2018,21,Monday,1.071,3.411838727
76.93038177,79.24021912,75.8717041,78.43819427,77.22613525,5766771,3.426,5/22/2018,20,2018,22,Tuesday,1.071,3.411838727
78.27778625,78.56651306,74.94135284,75.32632446,74.16235352,3996194,-3.967,5/23/2018,20,2018,23,Wednesday,1.071,3.411838727
75.71130371,77.31535339,74.20349121,76.44916534,75.26784515,6809081,1.491,5/24/2018,20,2018,24,Thursday,1.071,3.411838727
76.38500214,80.78010559,75.74338531,80.07432556,78.83700562,8545640,4.742,5/25/2018,20,2018,25,Friday,1.071,3.411838727
79.49686432,84.3731842,79.49686432,83.18618774,81.90077209,7804639,3.886,5/28/2018,21,2018,28,Monday,-0.8178,3.085984883
82.12751007,82.99369812,78.75900269,79.36854553,78.14211273,6376433,-4.589,5/29/2018,21,2018,29,Tuesday,-0.8178,3.085984883
78.34194946,80.33097076,77.95697784,79.17605591,77.9526062,3324790,-0.243,5/30/2018,21,2018,30,Wednesday,-0.8178,3.085984883
79.56102753,79.72143555,77.15494537,77.6361618,76.43649292,7144834,-1.945,5/31/2018,21,2018,31,Thursday,-0.8178,3.085984883
77.6361618,78.40611267,74.139328,76.70581055,75.5205307,9722786,-1.198,6/1/2018,21,2018,1,Friday,-0.8178,3.085984883
76.96246338,77.6361618,72.92024994,74.58846283,73.43589783,8032675,-2.76,6/4/2018,22,2018,4,Monday,1.1488,3.344244563
74.42805481,75.26216888,72.53527832,74.04308319,72.89894867,4918698,-0.731,6/5/2018,22,2018,5,Tuesday,1.1488,3.344244563
74.1072464,76.76997375,73.43354797,75.8717041,74.6993103,6253502,2.47,6/6/2018,22,2018,6,Wednesday,1.1488,3.344244563
75.8717041,82.25583649,75.8717041,80.45929718,79.21601868,17145197,6.047,6/7/2018,22,2018,7,Thursday,1.1488,3.344244563
80.04224396,81.61421967,78.63067627,81.03675842,79.78455353,8320813,0.718,6/8/2018,22,2018,8,Friday,1.1488,3.344244563
81.93502808,85.23937225,81.42173004,82.28791809,81.01637268,10227843,1.544,6/11/2018,23,2018,11,Monday,0.9696,1.894297574
81.67837524,82.70497131,80.94051361,81.90294647,80.63735962,3525932,-0.468,6/12/2018,23,2018,12,Tuesday,0.9696,1.894297574
82.48040771,85.11105347,82.31999969,82.86537933,81.58491516,10410157,1.175,6/13/2018,23,2018,13,Wednesday,0.9696,1.894297574
82.44832611,86.52262115,81.61421967,85.94515991,84.61711121,15420224,3.717,6/14/2018,23,2018,14,Thursday,0.9696,1.894297574
86.61885834,88.03042603,84.30902863,84.98272705,83.66955566,13898773,-1.12,6/15/2018,23,2018,15,Friday,0.9696,1.894297574
